Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
POLO2duzykwadrat,Area,0.85012,0.07905,0.85016,0.07724,0.00052,NDVI,"10 55JZ12,09_ZAG30",10,30,0.092986872
POLO2malykwadrat,Area,0.85667,0.06916,0.85624,0.06829,0.00031,NDVI,"10 55JZ12,09_ZAG30",10,30,0.080731203
POLO3duzykwadrat,Area,0.83742,0.10831,0.83594,0.10809,0.00066,NDVI,"10 55JZ12,09_ZAG30",10,30,0.129337728
POLO3malykwadrat,Area,0.87809,0.0559,0.87616,0.05525,0.00028,NDVI,"10 55JZ12,09_ZAG30",10,30,0.0636609
POLO4duzykwadrat,Area,0.85111,0.10172,0.84848,0.10081,0.00075,NDVI,"10 55JZ12,09_ZAG30",10,30,0.119514516
POLO4malykwadrat,Area,0.88669,0.05123,0.88356,0.05016,0.0003,NDVI,"10 55JZ12,09_ZAG30",10,30,0.057776675
POLO5duzykwadrat,Area,0.87643,0.07472,0.87311,0.07432,0.0007,NDVI,"10 55JZ12,09_ZAG30",10,30,0.085254955
POLO5malykwadrat,Area,0.89578,0.05029,0.89114,0.0489,0.00025,NDVI,"10 55JZ12,09_ZAG30",10,30,0.056141017
ENRO2duzykwadrat,Area,0.59829,0.12258,0.58532,0.12088,0.00074,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.204883919
ENRO2malykwadrat,Area,0.67028,0.04921,0.6609,0.04623,0.0003,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.073417079
ENRO3duzykwadrat,Area,0.5982,0.12085,0.58291,0.11824,0.00084,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.202022735
ENRO3malykwadrat,Area,0.69202,0.04131,0.67934,0.03892,0.00025,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.059694807
ENRO4duzykwadrat,Area,0.613,0.10643,0.60455,0.10517,0.00083,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.173621533
ENRO4malykwadrat,Area,0.67865,0.03399,0.67167,0.02979,0.00025,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.050084727
ENRO5duzykwadrat,Area,0.63302,0.08779,0.62395,0.08632,0.00075,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.138684402
ENRO5malykwadrat,Area,0.68406,0.03283,0.67599,0.02836,0.00023,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.047992866
POLO2duzykwadrat,Area,0.63149,0.10453,0.61669,0.10336,0.00052,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.165529145
POLO2malykwadrat,Area,0.66622,0.05863,0.65668,0.05667,0.00031,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.088003963
POLO3duzykwadrat,Area,0.61826,0.11552,0.59747,0.11347,0.00066,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.186846958
POLO3malykwadrat,Area,0.68614,0.04792,0.66966,0.04448,0.00028,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.069839974
POLO4duzykwadrat,Area,0.60421,0.12544,0.59273,0.12488,0.00075,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.207609937
POLO4malykwadrat,Area,0.67992,0.04331,0.67084,0.04069,0.0003,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.06369867
POLO5duzykwadrat,Area,0.61413,0.12138,0.60308,0.12122,0.0007,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.19764545
POLO5malykwadrat,Area,0.67917,0.04052,0.6721,0.038,0.00025,OSAVI,"10 55JZ12,09_ZAG30",10,30,0.059661057
ENRO2duzykwadrat,Area,0.93591,0.02994,0.94001,0.02431,0.00074,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.031990255
ENRO2malykwadrat,Area,0.93836,0.02332,0.94007,0.02033,0.0003,SIPI2,"10 55JZ12,09_ZAG30",10,30,0.024851869
